service_name,category_1,category_2,category_3,category_4,tc_count
1.가입,EU 국가 동의 체크,EU국가,인증번호 오기입 제한,웹뷰 닫기,2
1.가입,EU 국가 동의 체크,약관동의 확인,필수 약관 동의 후 진행 확인,권한 취소,1
1.가입,EU 국가 동의 체크,약관동의 확인,"필수 약관, 광고 식별자 수집 동의 체크 후 진행 확인",권한 취소,1
1.가입,MO인증 확인,인증 확인,다시받기로 인증번호 2회 받은 경우,디폴트 텍스트,1
1.가입,MO인증 확인,인증 확인,인증 만료,디폴트 텍스트,1
1.가입,MO인증 확인,인증 확인,인증 실패,디폴트 텍스트,1
1.가입,MO인증 확인,인증 확인,펜딩,디폴트 텍스트,1
1.가입,MO인증 확인,취소하기,인증 만료,디폴트 텍스트,1
1.가입,계속 버튼 랜딩 확인,화면 분기 확인,[백업 데이터 확인하기],복원 정보 화면 스킵 후 프로필 이동 확인,1
1.가입,계속 버튼 랜딩 확인,화면 분기 확인,[백업 데이터 확인하기],복원 정보 화면 진입 확인,1
1.가입,계속 진행하기,화면 분기 확인,[백업 데이터 확인하기],기존가입자 랜딩,1
1.가입,계속 진행하기,화면 분기 확인,[백업 데이터 확인하기],신규가입 랜딩,1
1.가입,계정 당 재가입 제한,입력제한 확인,권한 허용,디폴트 문구,1
1.가입,계정 유효성 확인,ID오입력,권한 허용,디폴트 문구,1
1.가입,계정 유효성 확인,PW오입력,권한 허용,디폴트 문구,1
1.가입,계정/비밀번호 찾기,비밀번호를 모르겠어요,권한 허용,랜딩 확인,1
1.가입,계정/비밀번호 찾기,이메일 또는 전화번호를 모르겠어요,권한 허용,랜딩 확인,1
1.가입,국가 코드 자동 입력,국가코드 설정 우선순위 확인,권한 허용,디폴트 문구,1
1.가입,국가번호 디폴트 셀렉트,국가번호 자동 입력(iOS),14세 이상 미동의 후 진행 flow 확인,"랜딩 확인
: 약관 페이지",1
1.가입,국가번호 디폴트 셀렉트,국가번호 자동 입력(iOS),인증번호 오기입 제한,웹뷰 닫기,1
