service_name,row_number,issue_type,issue_reason,priority,os,category_path,test_step,expected_result
2.친구,8,invalid_category,"분류1=""내프로필"" / 분류2="""" — 주요 분류가 비어 있음",P1,common,내프로필,"1. 내프로필 영역 UI 확인
2. 내프로필 영역 탭","1. 친구탭에 표시된 내프로필 확인
 - 이름 표시
   ㄴ 최대 표시 글자수: 7자
   ㄴ 최대 표시 글자수 초과시
        : 공간에 맞는 글자수 표시 + 말줄임
            (말줄임 이전에 표시되는 글자수는 가변적)

2. 내프로필이 조회됨"
2.친구,20,multiple_purpose,Step 6단계 / 기대결과 4단계: 복합 속성으로 분류 불가 — 목적 불명확,P1,common,칩 > 칩 간 이동 및 수동 최상단 포커싱 > 목록에서 추가,"1. 친구탭> 친구칩 스크롤한 후 머물기
2. 친구탭 탭1
3. 친구탭 탭2
4. 소식칩 스크롤한 후 머물기
5. 친구탭 탭3
6. 친구탭 탭4","2. 친구칩 최상단으로 포커싱
3. 소식칩으로 전환
5. 소식칩 최상단으로 포커싱
6. 친구칩으로 전환"
2.친구,65,multiple_purpose,Step 7단계 / 기대결과 6단계: 복합 속성으로 분류 불가 — 목적 불명확,P2,common,편집(친구 목록에서 개별 편집) > 삭제 > 업데이트순 > 3개 카드 모두 읽음,"0. 친구E와의 1:1 채팅방 있음. 친구E = 연락처 친구
1. 친구목록 상세에서 친구E의 슬롯을 롱탭(스와이프) 후 친구 삭제 완료
2. 설정> 친구> 친구 목록 새로고침
3. 친구E와의 1:1채팅방 상단 버튼 구성 확인
4. 친구E와 메시지 수발신
5. 친구E를 카카오톡 id or QR코드로 검색 후 검색 결과 화면 확인
6. 친구E를 차단, 추가","1. 삭제 프로세스가 진행되고 완료시 화면 중앙에 UI 표시
2. 친구로 추가되지 않음
3. [추가] [차단] [신고]
4. 친구E와 메시지 수발신 정상 동작
5. 프사/이름, [차단] [친구 추가]
6. 차단 및 친구 추가 가능"
2.친구,148,missing_precondition,Step/기대결과에 사전 상태 언급이 있으나 사전조건 비어 있음,P1,common,게시물 타입 별 노출 확인 > 게시물/펑 업로드 > 펑 > 메시지 차단 해제,"친구탭 내 친구들의 소식(게시물) 노출 확인

- 게시물 타입 별 확인
 ㄴ 프사
 ㄴ 배사
 ㄴ 단일 
 ㄴ 멀티
 ㄴ 숏폼 : 내가 친구추가한 크리에이터 숏폼 게시물 

* 숏폼 친구 추가 후 바로 노출되지 않고 추천 서버 거쳐 4시간 정도 뒤 노출","친구들의 소식(게시물)이 최신순으로 노출됨

- 프로필(1:1)
- 배경(1:1)
- 단일(4:5)
- 멀티(4:5) 
- 숏폼(9:14)

*표시할 최근 게시물이 없는 경우 과거의 게시물이 표시될 수 있음"
5.일반채팅,423,missing_precondition,"기대결과 내 조건 분기 포함 — 사전조건 컬럼 분리 필요 (예: """")",P1,common,"앨범 피커 

 - 하프뷰 
 - 풀뷰 > 하프뷰 > 미디어 썸네일 > 간편녹음 메시지","1. 플러스메뉴 아이콘 [사진] 버튼 선택 

2. 앨범 하프뷰 - 앨범 내비게이션 바 확인 

3. 사진, 동영상 썸네일 확인","1. 하프뷰로 앨범 영역이 노출됨  
 - 앨범 버튼을 눌렀을 때 나오는 디폴트 상태의 바텀시트 

2. 앨범 내비게이션 영역이 노출됨 
 - AS IS : 입력창 영역 [<]  
 - TO BE : [X] 앨범 [전송] 

3. 사진, 동영상 썸네일 표시 

 - 사진 피커의 제일 첫번째는 ‘카메라' 
 - 좌측 하단에 확대보기 클릭 시, 편집 뷰어 실행"
6.비밀채팅,82,ambiguous_expected_result,"기대결과가 모호한 단어만으로 구성: ""정상 동작""",P1,common,그룹 채팅 시작 > 비밀 채팅 내 기능 > 사이드 메뉴 > 알림 on/off,[알림 ON/OFF] 동작 확인,정상 동작
7.팀채팅_채팅방,9,invalid_category,"분류1=""팀채팅 생성 브릿지"" / 분류2="""" — 주요 분류가 비어 있음",P3,common,팀채팅 생성 브릿지 > 생성 브릿지 화면 확인 및 개인키 등록 확인,"* 사전조건 셋팅
: 팀채팅 적용 전 버전 10.3.0미만 에서 서랍 가입 후 최신버전으로 마이그레이션 후 My핀을 사용하지 않은 상태

1. 사전조건 상태에서 팀채팅 생성 시도

2. My비밀번호 입력","1. 생성 브릿지가 표시된다.

팀채팅 개설을 위해
My비밀번호를 입력해 주세요.

기기별로 최초 1회만 보안 인증을 진행하면
안전하고 편리하게 팀채팅을 이용할 수 있어요.

My비밀번호 입력

2. 팀채팅 방이 생성된다."
7.팀채팅_채팅방,11,invalid_category,"분류1=""팀채팅 입장 브릿지"" / 분류2="""" — 주요 분류가 비어 있음",P1,common,팀채팅 입장 브릿지 > 입장 브릿지 화면 확인 및 개인키 등록 확인,"* 사전조건
- 신규 클라이언트 설치 후 My비밀번호 등록을 안한유저

1. 사전조건의 상태에서 팀채팅 초대받은뒤 방 입장 시도

2. My비밀번호 등록","1. 입장 브릿지가 표시된다.

보안이 강화된 팀채팅 이용을 위해 My비밀번호를 입력해 주세요.

My비밀번호를 입력하지 않아도 팀채팅 이용은 가능합니다.

My 비밀번호 입력

2. 팀채팅에 입장된다."
7.팀채팅_채팅방,12,invalid_category,"분류1=""팀채팅 입장 브릿지"" / 분류2="""" — 주요 분류가 비어 있음",P1,common,팀채팅 입장 브릿지 > 개인키 미등록상태로 입장,1. 입장 브릿지에서 상단 [X]버튼 탭,"1. My비밀번호 입력하지 않고 방에 입장된다.
- 개인키 미존재 상태로 입장"
7.팀채팅_채팅방,14,invalid_category,"분류1=""팀채팅 복원 브릿지"" / 분류2="""" — 주요 분류가 비어 있음",P1,common,팀채팅 복원 브릿지 > 복원 브릿지 화면 확인 및 개인키 등록 확인,"* 사전조건
- 신규 클라이언트 설치 후 My비밀번호 등록을 안한유저

1. 사전조건의 상태에서 팀채팅방에서 복원 시도

2. My비밀번호 등록","1. 복원 브릿지가 표시된다.

팀채팅 대화를 불러오기 위해
My비밀번호를 입력해 주세요.

기기별로 최초 1회만 보안 인증을 진행하면
안전하고 편리하게 팀채팅을 이용할 수 있어요.

My비밀번호 입력

2. 챗로그가 복원된다."
7.팀채팅_채팅방,43,ambiguous_test_step,Test Step이 비어 있음,P3,common,"톡클라우드 상태 별 팀채팅방 개설 시도 > 개설 가능 개수 제한
(1000개) > 팀 데이터 설정없이 개설 
 - 무료 > 개설 완료",,
7.팀채팅_채팅방,43,ambiguous_expected_result,기대결과가 비어 있음,P3,common,"톡클라우드 상태 별 팀채팅방 개설 시도 > 개설 가능 개수 제한
(1000개) > 팀 데이터 설정없이 개설 
 - 무료 > 개설 완료",,
7.팀채팅_채팅방,62,ambiguous_expected_result,기대결과가 비어 있음,P3,common,채팅방 다시 만들기 > 톡클라우드 유료 사용자 > 팀채팅 > 팀채팅 > 이전 대화상대 유지 메뉴 미노출 확인,"1. 팀채팅방 > 채팅방 사이드 > 채팅방 다시 만들기 > 팀채팅 탭 
2. 그룹채팅방 정보 설정 > [확인]",
7.팀채팅_채팅방,71,ambiguous_test_step,Test Step이 비어 있음,P3,common,안내 배너 > 톡클라우드 미가입자 > 팀채팅 > 팀채팅 > 이전 대화상대 유지 메뉴 미노출 확인,,
7.팀채팅_채팅방,71,ambiguous_expected_result,기대결과가 비어 있음,P3,common,안내 배너 > 톡클라우드 미가입자 > 팀채팅 > 팀채팅 > 이전 대화상대 유지 메뉴 미노출 확인,,
7.팀채팅_채팅방,72,ambiguous_expected_result,기대결과가 비어 있음,P3,common,안내 배너 > 안내배너 노출 우선순위 확인 > 팀채팅 > 팀채팅 > 이전 대화상대 유지 메뉴 미노출 확인,* 채팅방 공지 < 스팸뷰 < 라이브톡 배너 순,
7.팀채팅_채팅방,73,ambiguous_test_step,Test Step이 비어 있음,P3,common,개설 불가 > 안내배너 노출 우선순위 확인 > 팀채팅 > 팀채팅 > 이전 대화상대 유지 메뉴 미노출 확인,,
