service_name,row_number,recon_type,orig_step,orig_expected,recon_steps,recon_expected,moved_lines,reason,action_signals,state_signals
1.가입,112,separated,"1. 가입 - 전화번호 입력화면 진입

2. [확인] 탭

3. [설정] 탭","1. 전화 권한 안내 팝업 표시

2. 권한 유도창 노출

3. 애플리케이션 정보 > 카카오톡 이동",가입 - 전화번호 입력화면 진입 / [확인] 탭 / [설정] 탭 / 애플리케이션 정보 > 카카오톡 이동,전화 권한 안내 팝업 표시 / 권한 유도창 노출,애플리케이션 정보 > 카카오톡 이동,"""애플리케이션 정보 > 카카오톡 이동""은 행위 동사로 끝나는 실행 절차이므로 실행 절차로 이동하였습니다. ""전화 권한 안내 팝업 표시""은 최종 상태를 기술하는 기대결과로 유지하였습니다. ""권한 유도창 노출""은 최종 상태를 기술하는 기대결과로 유지하였습니다.",행위 동사 종결: 애플리케이션 정보 > 카카오톡 이동,상태 표현: 전화 권한 안내 팝업 표시 | 상태 표현: 권한 유도창 노출
1.가입,142,clarified,조건의 전화번호 입력 후 다음 화면 랜딩 확인,인증번호 입력 화면으로 이동,조건의 전화번호 입력 후 다음 화면 랜딩 확인 / 인증번호 입력 화면으로 이동,,인증번호 입력 화면으로 이동,기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,행위 동사 종결: 인증번호 입력 화면으로 이동,
1.가입,143,clarified,조건의 전화번호 입력 후 다음 화면 랜딩 확인,MO 인증화면으로 이동,조건의 전화번호 입력 후 다음 화면 랜딩 확인 / MO 인증화면으로 이동,,MO 인증화면으로 이동,기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,행위 동사 종결: MO 인증화면으로 이동,
1.가입,144,clarified,조건의 전화번호 입력 후 다음 화면 랜딩 확인,ARS 인증화면으로 이동,조건의 전화번호 입력 후 다음 화면 랜딩 확인 / ARS 인증화면으로 이동,,ARS 인증화면으로 이동,기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,행위 동사 종결: ARS 인증화면으로 이동,
1.가입,279,clarified,1. [백업 데이터 확인하기] 탭,1. (신규화면) 유료 사용자 백업 안내 화면 진입,[백업 데이터 확인하기] 탭 / (신규화면) 유료 사용자 백업 안내 화면 진입,,(신규화면) 유료 사용자 백업 안내 화면 진입,기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,행위 동사 종결: (신규화면) 유료 사용자 백업 안내 화면 진입,
1.가입,285,clarified,1. 대화 복원 중 화면 내 프로그레스 확인,1. 0~100%까지 퍼센테이지가 증가되며 100%시 복원 완료 화면으로 이동,대화 복원 중 화면 내 프로그레스 확인 / 0~100%까지 퍼센테이지가 증가되며 100%시 복원 완료 화면으로 이동,,0~100%까지 퍼센테이지가 증가되며 100%시 복원 완료 화면으로 이동,기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,행위 동사 종결: 0~100%까지 퍼센테이지가 증가되며 100%시 복원 완료 화면으로 이동,
1.가입,286,clarified,1. [확인] 버튼 탭,1. 프로필 화면으로 이동,[확인] 버튼 탭 / 프로필 화면으로 이동,,프로필 화면으로 이동,기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,행위 동사 종결: 프로필 화면으로 이동,
1.가입,325,clarified,[계속] 버튼 탭 후 랜딩 확인,복원 정보 화면으로 이동,[계속] 버튼 탭 후 랜딩 확인 / 복원 정보 화면으로 이동,,복원 정보 화면으로 이동,기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,행위 동사 종결: 복원 정보 화면으로 이동,
1.가입,326,clarified,[계속] 버튼 탭 후 랜딩 확인,프로필 화면으로 이동,[계속] 버튼 탭 후 랜딩 확인 / 프로필 화면으로 이동,,프로필 화면으로 이동,기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,행위 동사 종결: 프로필 화면으로 이동,
1.가입,417,clarified,생년월일 필드 클릭하여 피커를 띄운다.,연도 선택 옵션이 디폴트(만 20세) 선택,생년월일 필드 클릭하여 피커를 띄운다. / 연도 선택 옵션이 디폴트(만 20세) 선택,,연도 선택 옵션이 디폴트(만 20세) 선택,기대결과 전체(1줄)가 실행 절차로 판단되어 실행 절차로 이동하였습니다. 명시적인 기대결과가 없어 별도 기재가 필요합니다.,행위 동사 종결: 연도 선택 옵션이 디폴트(만 20세) 선택,
