State ID,State Type,정의,판정 기준,출처 원본 행번호,사용 TC 수
STA_ACCOUNT_LOGGED_IN,Account State,카카오 계정 로그인 완료 상태,앱 진입 시 로그인 화면이 아닌 서비스 화면으로 진입 가능,366 369 372 374,4
STA_ONE_ON_ONE_CHATROOM,Data State,1:1 채팅방이 존재하는 상태,대상 1:1 채팅방이 채팅 목록에 존재,9 33 64 77 83 92 118 119 120 191 208 350 353 412 414 510 516 518 595 648 649 650 651 652 690 704 716 841 846 868 872 876 910,33
STA_GROUP_CHATROOM,Data State,그룹(단체) 채팅방이 존재하는 상태,대상 그룹 채팅방이 채팅 목록에 존재,10 33 40 60 61 63 65 67 68 69 70 93 151 172 204 217 218 222 223 224 225 226 227 229 230 231 232 233 234 236 237 238 239 240 241 242 351 354 415 512 513 514 516 597 627 630 705 717 842 847 869 873 877 911 914,55
STA_NETWORK_CONNECTED,Network State,정상 Wi-Fi/데이터 네트워크에 연결된 상태,네트워크 상태 표시줄에 오프라인 안내가 없음,276 277,2
STA_NETWORK_UNSTABLE,Network State,네트워크가 불안정하거나 약한 상태,전송 시 지연·재시도가 발생,23 273 274,3
STA_AIRPLANE_MODE,Network State,비행기 모드(오프라인) 상태,기기 설정의 비행기 모드가 ON,19 272,2
STA_MEDIA_PERMISSION_ALLOWED,Permission State,사진/미디어 접근 권한이 허용된 상태,앨범 피커 진입 시 권한 요청 팝업 없이 이미지 목록 노출,186 880 881 889,4
STA_UPLOAD_IN_PROGRESS,Data State,이미지/파일 업로드가 진행 중인 상태,송신 말풍선에 진행 인디케이터(종이비행기 등)가 표시됨,699 700 701,3
STA_MESSAGE_RECEIVED,Data State,수신 계정이 메시지를 수신한 상태,수신 대화방에 수신 말풍선이 노출됨,17 46 47 48 79 80 81 83 89 90 91 92 93 125 146 152 153 191,18
STA_AUTO_DOWNLOAD_OFF,UI State,미디어 자동 다운로드 설정이 꺼진 상태,미디어 자동 다운로드 설정이 꺼진 상태,288 289 290 291 292 294 295 296 297 298,10
STA_AUTO_DOWNLOAD_ON,UI State,미디어 자동 다운로드 설정이 켜진 상태,미디어 자동 다운로드 설정이 켜진 상태,300 301 302 303 304 305 306,7
STA_BLOCKED_RELATION,Data State,상대를 차단했거나 차단당한 관계 상태,상대를 차단했거나 차단당한 관계 상태,40 41 64 65 69 84 85 86 134 690 857 858,12
STA_CAMERA_PERMISSION_ALLOWED,Permission State,카메라 접근 권한이 허용된 상태,카메라 접근 권한이 허용된 상태,483 486 487 492 495 496 500 881,8
STA_CHATROOM_ENTERED,UI State,대상 채팅방에 진입해 메시지 송수신이 가능한 상태,대상 채팅방에 진입해 메시지 송수신이 가능한 상태,6 9 10 11 12 13 15 17 19 20 21 23 24 27 28 29 30 33 34 35 36 37 38 39 40 41 43 46 47 48 50 51 52 53 54 56 57 60 61 63 64 65 67 68 69 70 72 123 124 125 127 128 130 131 133 136 138 139 140 141 217 218 264 272 273 274 289 290 291 292 294 295 296 297 298 300 301 302 303 304 305 306 309 310 315 316 317 318 319 320 321 322 325 326 327 328 329 330 331 332 335 337 338 339 340 342 343 347 348 349 350 351 353 354 355 358 366 369 372 374 379 384 387 388 389 390 391 393 394 395 397 398 399 401 402 403 405 406 407 409 412 414 415 416 417 421 422 424 425 427 429 430 431 433 436 437 438 439 441 442 443 444 445 446 447 448 450 451 452 453 454 458 459 460 461 463 464 468 469 470 471 473 474 476 477 479 480 483 486 487 492 495 496 500 503 504 506 507 510 512 513 514 516 518 520 521 522 526 530 531 532 533 534 535 537 538 539 670 671 673 674 675 681 682 683 685 686 689 692 693 695 699 700 704 705 708 709 711 712 714 716 717 725 727 728 790 792 793 794 796 797 798 799 800 801 817 819 823 824 825 826 827 831 835 838 839 844 889 890 891 892 893 895 896 897 898 899 900 901 902 903 905 906 907 908 910 911 913 914 916 918 919 920 922 923 925 928 929 931 932 935 936 937 938 940 941 943 944,308
STA_CONTEXT_MENU_OPEN,UI State,말풍선 컨텍스트 메뉴가 열린 상태,말풍선 컨텍스트 메뉴가 열린 상태,174 180 181 184 189 193 623,7
STA_DEAUTH_FRIEND,Data State,상대가 인증을 잃은(인증 박탈) 친구인 상태,상대가 인증을 잃은(인증 박탈) 친구인 상태,41,1
STA_DOWNLOAD_IN_PROGRESS,Data State,미디어/파일 다운로드가 진행 중인 상태,미디어/파일 다운로드가 진행 중인 상태,546 555 566 575 581 589,6
STA_DOWNLOAD_PAUSED,Data State,다운로드를 중단한 항목이 있는 상태,다운로드를 중단한 항목이 있는 상태,564 565 587 588,4
STA_FILE_RECEIVED,Data State,파일을 수신한 상태(파일 말풍선 존재),파일을 수신한 상태(파일 말풍선 존재),284 291 297 304 305 589 590 591 690,9
STA_FRIEND_RELATION,Data State,상대가 친구로 등록된 관계 상태,상대가 친구로 등록된 관계 상태,46 47 838 846 847 861,6
STA_IMAGE_RECEIVED,Data State,사진/이미지를 수신한 상태,사진/이미지를 수신한 상태,281 282 288 289 294 295 300 301,8
STA_INPUT_BLOCKED_CHATROOM,UI State,입력창이 막힌 상태의 채팅방(차단/인증박탈/탈퇴 등),입력창이 막힌 상태의 채팅방(차단/인증박탈/탈퇴 등),41 134 135,3
STA_LOCATION_PERMISSION_ALLOWED,Permission State,위치 접근 권한이 허용된 상태,위치 접근 권한이 허용된 상태,362 634,2
STA_MEDIA_MESSAGE_EXISTS,Data State,대상 미디어(사진/동영상/파일) 말풍선이 존재하는 상태,대상 미디어(사진/동영상/파일) 말풍선이 존재하는 상태,479 480 506 507 692 693 694 695 897 898 899 900 901 902,14
STA_MESSAGES_OVER_ONE_PAGE,Data State,수발신 메시지가 한 페이지 이상 쌓인 상태,수발신 메시지가 한 페이지 이상 쌓인 상태,53 54,2
STA_MESSAGE_SENT,Data State,대상 메시지를 전송 완료한 상태(송신 말풍선 존재),대상 메시지를 전송 완료한 상태(송신 말풍선 존재),17 172 189 190 193 694 928 929 931 932 935 936 938 940 941,15
STA_NETWORK_CELLULAR,Data State,셀룰러(LTE/5G) 네트워크에 연결된 상태,셀룰러(LTE/5G) 네트워크에 연결된 상태,281 282 283 284 285 454,6
STA_NETWORK_WIFI,Data State,Wi-Fi 네트워크에 연결된 상태,Wi-Fi 네트워크에 연결된 상태,288 289 290 291 292 294 295 296 297 298 300 301 302 303 304 305 306,17
STA_NON_FRIEND_RELATION,Data State,상대가 친구가 아닌(비친구) 관계 상태,상대가 친구가 아닌(비친구) 관계 상태,48 68 79 80 81 83 89 90 91 92 93 191 690 839 849 851 852 854 855 862,20
STA_NOTIFICATION_OFF,Data State,채팅방 알림이 꺼져 있는 상태,채팅방 알림이 꺼져 있는 상태,172 709,2
STA_NOTIFICATION_ON,Data State,채팅방 알림이 켜져 있는 상태,채팅방 알림이 켜져 있는 상태,75 76 708,3
STA_OPEN_CHATROOM,Data State,오픈채팅방이 대상인 상태,오픈채팅방이 대상인 상태,206 516,2
STA_RESTORED_BUBBLE_EXISTS,Data State,복원된 말풍선이 채팅방에 존재하는 상태,복원된 말풍선이 채팅방에 존재하는 상태,38 39,2
STA_SELF_CHATROOM,Data State,나와의 채팅방이 대상인 상태,나와의 채팅방이 대상인 상태,43 212 347 416 920 922 923 925 931 935 936 937 938 940 941 943 944 945 946 947,20
STA_SEND_FAILED,Data State,메시지/미디어 전송에 실패한 상태,메시지/미디어 전송에 실패한 상태,19 20 21,3
STA_SEND_PENDING_MESSAGE_EXISTS,Data State,네트워크 불안정으로 전송 대기(미전송) 중인 메시지가 있는 상태,네트워크 불안정으로 전송 대기(미전송) 중인 메시지가 있는 상태,24 276 277,3
STA_SENT_WITHIN_24H,Data State,전송 후 24시간이 지나지 않은 메시지가 존재하는 상태,전송 후 24시간이 지나지 않은 메시지가 존재하는 상태,189 193 694 928,4
STA_TEAM_CHATROOM,Data State,팀채팅방이 대상인 상태,팀채팅방이 대상인 상태,38 355 516 830,4
STA_VIDEO_RECEIVED,Data State,동영상을 수신한 상태,동영상을 수신한 상태,283 290 296 302 303,5
STA_WITHDRAWN_FRIEND,Data State,상대가 탈퇴한 친구인 상태,상대가 탈퇴한 친구인 상태,41 70 135,3
STA_X_ADDRESS_BOOK_NOT_SAVED,Data State,상대가 주소록에 저장되지 않은(전화번호 없음) 상태,[검토 필요] 상대가 주소록에 저장되지 않은(전화번호 없음) 상태,47,1
STA_X_ADDRESS_BOOK_REGISTERED,Data State,상대가 주소록에 등록(전화번호 저장)된 상태,[검토 필요] 상대가 주소록에 등록(전화번호 저장)된 상태,46,1
STA_X_ALBUM_PICKER_FULLVIEW_OPEN,UI State,앨범 피커 풀뷰가 열린 상태,[검토 필요] 앨범 피커 풀뷰가 열린 상태,429 430 431 433,4
STA_X_ALBUM_PICKER_HALFVIEW_OPEN,UI State,앨범 피커 하프뷰가 열린 상태,[검토 필요] 앨범 피커 하프뷰가 열린 상태,422 424 425 427,4
STA_X_ANALYZABLE_IMAGE_EXISTS,Data State,텍스트 분석이 가능한 이미지 말풍선이 존재하는 상태,[검토 필요] 텍스트 분석이 가능한 이미지 말풍선이 존재하는 상태,468 469 470 471 473 474,6
STA_X_APP_BACKGROUND,UI State,앱이 백그라운드로 전환된 상태,[검토 필요] 앱이 백그라운드로 전환된 상태,699 700 701,3
