service_name,row_number,omit_key,omit_expr,subject,source_col,orig_step,orig_expected,recon_step,recon_expected,reason,confidence
1.가입,140,다음_화면,다음 화면,인증번호 입력 화면으로 이동,expected_result,조건의 전화번호 입력 후 다음 화면 랜딩 확인,인증번호 입력 화면으로 이동,조건의 전화번호 입력 후 인증번호 입력 화면으로 이동 랜딩 확인,인증번호 입력 화면으로 이동 이어야 한다.,"Step에 ""다음 화면""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""인증번호 입력 화면으로 이동""이(가) 확인 대상임을 파악하였습니다. 따라서 ""다음 화면""은 ""인증번호 입력 화면으로 이동""을 의미하는 것으로 판단하였습니다.",high
1.가입,141,다음_화면,다음 화면,MO 인증화면으로 이동,expected_result,조건의 전화번호 입력 후 다음 화면 랜딩 확인,MO 인증화면으로 이동,조건의 전화번호 입력 후 MO 인증화면으로 이동 랜딩 확인,MO 인증화면으로 이동 이어야 한다.,"Step에 ""다음 화면""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""MO 인증화면으로 이동""이(가) 확인 대상임을 파악하였습니다. 따라서 ""다음 화면""은 ""MO 인증화면으로 이동""을 의미하는 것으로 판단하였습니다.",high
1.가입,142,다음_화면,다음 화면,ARS 인증화면으로 이동,expected_result,조건의 전화번호 입력 후 다음 화면 랜딩 확인,ARS 인증화면으로 이동,조건의 전화번호 입력 후 ARS 인증화면으로 이동 랜딩 확인,ARS 인증화면으로 이동 이어야 한다.,"Step에 ""다음 화면""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""ARS 인증화면으로 이동""이(가) 확인 대상임을 파악하였습니다. 따라서 ""다음 화면""은 ""ARS 인증화면으로 이동""을 의미하는 것으로 판단하였습니다.",high
1.가입,162,상태_확인,상태 확인,비활성화 상태로 표시,expected_result,"1. 버튼 활성화 상태 확인
2. 4자 입력 후 버튼 활성화 상태 확인
3. 4자 이상 입력 시도
4. 4자 입력 상태에서 삭제 -> 3자","1. 비활성화 상태로 표시
2. 활성화 상태로 표시
3. 입력 불가
4. 비활성화 상태로 표시","1. 버튼 활성화 비활성화 상태로 표시
2. 4자 입력 후 버튼 활성화 상태 확인
3. 4자 이상 입력 시도
4. 4자 입력 상태에서 삭제 -> 3자",비활성화 상태로 표시,"Step에 ""상태 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""비활성화 상태로 표시""이(가) 확인 대상임을 파악하였습니다. 따라서 ""상태 확인""은 ""비활성화 상태로 표시""을 의미하는 것으로 판단하였습니다.",high
1.가입,323,랜딩_확인,랜딩 확인,복원 정보 화면으로 이동,expected_result,[계속] 버튼 탭 후 랜딩 확인,복원 정보 화면으로 이동,[계속] 버튼 탭 후 복원 정보 화면으로 이동,복원 정보 화면으로 이동 이어야 한다.,"Step에 ""랜딩 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""복원 정보 화면으로 이동""이(가) 확인 대상임을 파악하였습니다. 따라서 ""랜딩 확인""은 ""복원 정보 화면으로 이동""을 의미하는 것으로 판단하였습니다.",high
1.가입,324,랜딩_확인,랜딩 확인,프로필 화면으로 이동,expected_result,[계속] 버튼 탭 후 랜딩 확인,프로필 화면으로 이동,[계속] 버튼 탭 후 프로필 화면으로 이동,프로필 화면으로 이동 이어야 한다.,"Step에 ""랜딩 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""프로필 화면으로 이동""이(가) 확인 대상임을 파악하였습니다. 따라서 ""랜딩 확인""은 ""프로필 화면으로 이동""을 의미하는 것으로 판단하였습니다.",high
1.가입,333,화면_확인,화면 확인,비밀번호 입력(PASSWORD)으,expected_result,랜딩 화면 확인,비밀번호 입력(PASSWORD)으로 이동된다.,랜딩 비밀번호 입력(PASSWORD)으,비밀번호 입력(PASSWORD)으로 이동된다.,"Step에 ""화면 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""비밀번호 입력(PASSWORD)으""이(가) 확인 대상임을 파악하였습니다. 따라서 ""화면 확인""은 ""비밀번호 입력(PASSWORD)으""을 의미하는 것으로 판단하였습니다.",high
1.가입,334,화면_확인,화면 확인,전화번호 변경 고지(CHANGED-PHONE-NUMBER)화면,expected_result,랜딩 화면 확인,"전화번호 변경 고지(CHANGED-PHONE-NUMBER)화면으로 이동된다.

* 계정감지로, 기존기기인증 요청 웹뷰로 이동될 수있으며, 이때는 기존기기에서 인증수락 후 화면 이동 처리된다.
- 해당 케이스는 별도로 정리",랜딩 전화번호 변경 고지(CHANGED-PHONE-NUMBER)화면,전화번호 변경 고지(CHANGED-PHONE-NUMBER)화면으로 이동된다.,"Step에 ""화면 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""전화번호 변경 고지(CHANGED-PHONE-NUMBER)화면""이(가) 확인 대상임을 파악하였습니다. 따라서 ""화면 확인""은 ""전화번호 변경 고지(CHANGED-PHONE-NUMBER)화면""을 의미하는 것으로 판단하였습니다.",high
1.가입,335,화면_확인,화면 확인,전화번호 입력 화면으로 이동된다.,expected_result,랜딩 화면 확인,전화번호 입력 화면으로 이동된다.,랜딩 전화번호 입력 화면으로 이동된다.,전화번호 입력 화면으로 이동된다.,"Step에 ""화면 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""전화번호 입력 화면으로 이동된다.""이(가) 확인 대상임을 파악하였습니다. 따라서 ""화면 확인""은 ""전화번호 입력 화면으로 이동된다.""을 의미하는 것으로 판단하였습니다.",high
1.가입,461,상태_확인,상태 확인,활성화 되지 않는다.,expected_result,"1. 버튼 활성화 상태 확인
2. 8자 입력 후 버튼 활성화 상태 확인
3. 8자 초과 입력","1. 활성화 되지 않는다.
2. [확인] 버튼이 활성화 된다.
3. 초과 입력되지 않음","1. 버튼 활성화 활성화 되지 않는다.
2. 8자 입력 후 버튼 활성화 상태 확인
3. 8자 초과 입력",활성화 되지 않는다. 이어야 한다.,"Step에 ""상태 확인""라는 생략 표현이 있습니다. Expected Result의 첫 번째 문장에서 ""활성화 되지 않는다.""이(가) 확인 대상임을 파악하였습니다. 따라서 ""상태 확인""은 ""활성화 되지 않는다.""을 의미하는 것으로 판단하였습니다.",high
