service_name,row_number,category,label,evidence,source_field,keyword,reason,confidence
1.가입,10,권한_허용,권한 허용,알림 권한 허용 요청,category_1,권한 허용,분류1에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,10,알림_허용,알림 허용,알림 권한 허용 요청,category_1,알림 권한,분류1에 알림 수신 관련 내용이 포함되어 있어 알림 권한이 허용된 상태여야 합니다.,medium
1.가입,12,권한_허용,권한 허용,알림 권한 허용 요청,category_1,권한 허용,분류1에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,12,알림_허용,알림 허용,디바이스 설정 - 알림 - 카카오톡 알림 허용 확인 시 Off로 설정,expected_result,알림 허용,기대결과에 알림 수신 관련 내용이 포함되어 있어 알림 권한이 허용된 상태여야 합니다.,medium
1.가입,13,권한_허용,권한 허용,알림 권한 허용 요청,category_1,권한 허용,분류1에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,13,알림_허용,알림 허용,설정 - 알림 - 카카오톡 알림 허용 확인 시 On으로 설정,expected_result,알림 허용,기대결과에 알림 수신 관련 내용이 포함되어 있어 알림 권한이 허용된 상태여야 합니다.,medium
1.가입,25,로그인,로그인 완료,1. 로그인 화면에서 사전조건의 계정 입력 후 [카카오계정 로그인] 버튼 클릭,test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,25,특정_계정,특정 계정 필요,1. 로그인 화면에서 사전조건의 계정 입력 후 [카카오계정 로그인] 버튼 클릭,test_step,사전조건의 계정,Test Step에 특정 상태의 계정이 언급되어 있어 해당 계정이 사전에 준비되어야 합니다.,medium
1.가입,25,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,27,로그인,로그인 완료,1. 로그인 화면에서 010번호로 로그인,test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,27,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,29,로그인,로그인 완료,1. 전화번호 계정을 사전조건의 형태로 입력 후 로그인 시도,test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,29,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,30,로그인,로그인 완료,1. 전화번호 계정을 사전조건의 형태로 입력 후 로그인 시도,test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,30,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,31,로그인,로그인 완료,1. 전화번호 계정을 사전조건의 형태로 입력 후 로그인 시도,test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,31,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,33,로그인,로그인 완료,1. [카카오계정 로그인] 버튼 비활성화,expected_result,로그인,기대결과에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,33,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,34,로그인,로그인 완료,1. 비밀번호 4자인 계정 입력 후 로그인 시도,test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,34,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,35,로그인,로그인 완료,1. 비밀번호 32자인 계정 입력 후 로그인 시도,test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,35,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,38,로그인,로그인 완료,1. 이메일 또는 전화번호 필드에 존재하지 않는 계정 입력 후 [카카오계정 로그인] 버튼 클릭,test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,38,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,39,로그인,로그인 완료,1. 잘못된 비밀번호 입력 후 로그인 시도,test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,39,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,41,로그인,로그인 완료,1. 비밀번호 오입력 상태로 로그인 시도(19회상태),test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,41,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,42,로그인,로그인 완료,1. 비밀번호 오입력 후 팝업을 닫는다.,test_step,비밀번호,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,42,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,44,로그인,로그인 완료,1. 사전조건의 계정으로 로그인 시도,test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,44,특정_계정,특정 계정 필요,1. 사전조건의 계정으로 로그인 시도,test_step,사전조건의 계정,Test Step에 특정 상태의 계정이 언급되어 있어 해당 계정이 사전에 준비되어야 합니다.,medium
1.가입,44,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,46,로그인,로그인 완료,유니크한 이메일 또는 전화번호 로그인 시도 횟수 4회 상태,precondition,로그인,사전조건 컬럼에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,high
1.가입,46,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,47,로그인,로그인 완료,유니크한 이메일 또는 전화번호 로그인 시도 횟수 4회 상태,precondition,로그인,사전조건 컬럼에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,high
1.가입,47,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,49,로그인,로그인 완료,이용제재 계정 로그인,precondition,로그인,사전조건 컬럼에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,high
1.가입,49,특정_계정,특정 계정 필요,이용제재 계정 로그인,precondition,이용제재,사전조건 컬럼에 특정 상태의 계정이 언급되어 있어 해당 계정이 사전에 준비되어야 합니다.,high
1.가입,49,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,50,로그인,로그인 완료,보호조치 계정 로그인,precondition,로그인,사전조건 컬럼에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,high
1.가입,50,특정_계정,특정 계정 필요,보호조치 계정 로그인,precondition,보호조치 계정,사전조건 컬럼에 특정 상태의 계정이 언급되어 있어 해당 계정이 사전에 준비되어야 합니다.,high
1.가입,50,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,52,로그인,로그인 완료,휴면 계정으로 로그인,precondition,로그인,사전조건 컬럼에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,high
1.가입,52,특정_계정,특정 계정 필요,휴면 계정으로 로그인,precondition,휴면 계정,사전조건 컬럼에 특정 상태의 계정이 언급되어 있어 해당 계정이 사전에 준비되어야 합니다.,high
1.가입,52,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,54,로그인,로그인 완료,1. 로그인 페이지 내 [카카오계정 또는 비밀번호 찾기] 버튼 클릭,test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,54,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,55,로그인,로그인 완료,1. 로그인 페이지 내 [카카오계정 또는 비밀번호 찾기] 버튼 클릭,test_step,로그인,Test Step에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,55,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,57,로그인,로그인 완료,2. 로그인 버튼은 비활성화 상태 유지,expected_result,로그인,기대결과에 로그인 또는 계정 관련 동작이 포함되어 있어 로그인 완료 상태가 필요합니다.,medium
1.가입,57,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
1.가입,57,설정_변경,특정 설정 상태,2. 로그인 버튼은 비활성화 상태 유지,expected_result,활성화 상태,기대결과에 특정 설정 상태에 대한 언급이 있어 해당 설정이 사전에 변경되어 있어야 합니다.,medium
1.가입,59,권한_허용,권한 허용,권한 허용,category_3,권한 허용,분류3에 권한 관련 내용이 포함되어 있어 해당 OS 권한이 허용된 상태여야 합니다.,medium
