new_tc_id,step_no,start_screen,precondition_data_state,precondition_ui_state,precondition_permission_state,target,target_parameter,action,action_parameter,result_screen,result_state
CHAT_NEW_0001,1,SCR_CHATROOM,해당없음,STA_CHATROOM_ENTERED,해당없음,해당없음,해당없음,VERIFY,해당없음,SCR_CHATROOM,"채팅방 상단·채팅·입력 영역이 모두 노출됨 - 상단: 뒤로 가기, 안읽은 메시지 갯수(iOS only, 안읽은 메시지 있는 경우만), 채팅방명, 검색, 사이드 메뉴 아이콘 - 채팅: 공지(있는 경우만), 말풍선 영역, 날짜 피드메시지 - 입력: 플러스 메뉴, 입력창, 이모티콘, 카나나 검색 OFF 시 #검색 아이콘 / ON 시 카나나 검색 아이콘"
CHAT_NEW_0002,1,SCR_CHATROOM,STA_ONE_ON_ONE_CHATROOM,STA_CHATROOM_ENTERED,해당없음,해당없음,해당없음,VERIFY,해당없음,SCR_CHATROOM_SIDE_MENU,"상단 영역에 뒤로 가기 아이콘, (iOS) 안읽은 메시지 갯수(안읽은 메시지 있는 경우만), 채팅방명, 검색 아이콘, 사이드 메뉴 아이콘이 노출됨 - 채팅방명은 대화상대 닉네임으로 표시됨"
CHAT_NEW_0003,1,SCR_CHATROOM,STA_GROUP_CHATROOM,STA_CHATROOM_ENTERED,해당없음,해당없음,해당없음,VERIFY,해당없음,SCR_CHATROOM_SIDE_MENU,"상단 영역에 뒤로 가기 아이콘, (iOS) 안읽은 메시지 갯수(안읽은 메시지 있는 경우만), 채팅방명(방인원), 검색 아이콘, 사이드 메뉴 아이콘이 노출됨 - 채팅방명은 생성 시 설정한 이름으로 표시됨"
CHAT_NEW_0004,1,SCR_CHATROOM,해당없음,STA_CHATROOM_ENTERED,해당없음,TGT_BACK_BUTTON,해당없음,BACK,해당없음,SCR_CHAT_LIST,채팅 목록 화면으로 이동됨
CHAT_NEW_0005,1,SCR_CHAT_SEARCH,해당없음,STA_CHATROOM_ENTERED,해당없음,TGT_SEARCH_BUTTON,해당없음,TAP,해당없음,SCR_CHAT_SEARCH,"채팅방 검색(타임머신) 화면으로 전환됨 - 검색 입력란에 ""대화내용 검색"" 노출 - 메시지 검색 입력란에 커서가 포커싱되며 키보드가 올라옴"
CHAT_NEW_0006,1,SCR_CHATROOM_SIDE_MENU,해당없음,STA_CHATROOM_ENTERED,해당없음,TGT_SIDE_MENU_BUTTON,해당없음,TAP,해당없음,SCR_CHATROOM_SIDE_MENU,채팅방 사이드 메뉴가 노출됨
CHAT_NEW_0007,1,SCR_CHATROOM,해당없음,STA_CHATROOM_ENTERED,해당없음,해당없음,해당없음,VERIFY,해당없음,SCR_CHATROOM,"채팅 영역에 공지(있는 경우만), 송수신 말풍선 영역, 날짜 피드메시지가 노출됨"
CHAT_NEW_0008,1,SCR_CHATROOM,STA_MESSAGE_SENT / STA_MESSAGE_RECEIVED,STA_CHATROOM_ENTERED,해당없음,TGT_MESSAGE_BUBBLE,해당없음,VERIFY,해당없음,SCR_CHATROOM,"송수신 말풍선이 노출됨 - 송신: 말풍선, 송신 시간, '1'(안읽은 경우만) - 수신: 프로필 이미지, 닉네임, 말풍선, 수신 시간"
CHAT_NEW_0009,1,SCR_CHATROOM,STA_AIRPLANE_MODE / STA_SEND_FAILED,STA_CHATROOM_ENTERED,해당없음,해당없음,해당없음,TAP,해당없음,SCR_CHATROOM,전송 실패한 송신 말풍선 좌측에 재시도·삭제 아이콘이 노출됨
CHAT_NEW_0010,1,SCR_CHATROOM,STA_SEND_FAILED,STA_CHATROOM_ENTERED,해당없음,TGT_RESEND_BUTTON,해당없음,TAP,해당없음,SCR_CHATROOM,"재시도 시 재전송 확인 UI가 노출됨 - Android: 재전송 얼럿 ""재전송하시겠습니까?"" [삭제] [재전송] - iOS: 바텀시트 [재전송] [삭제]"
CHAT_NEW_0010,2,SCR_CHATROOM,해당없음,해당없음,해당없음,TGT_RESEND_BUTTON,해당없음,TAP,해당없음,SCR_CHATROOM,메시지가 재전송됨
CHAT_NEW_0011,1,SCR_CHATROOM,STA_SEND_FAILED,STA_CHATROOM_ENTERED,해당없음,TGT_DELETE_BUTTON,해당없음,TAP,해당없음,SCR_CHATROOM,"삭제 시 확인 UI가 노출됨 - Android: 재전송 얼럿 ""재전송하시겠습니까?"" [삭제] [재전송] - iOS: 바텀시트 [재전송] [삭제]"
CHAT_NEW_0011,2,SCR_CHATROOM,해당없음,해당없음,해당없음,TGT_DELETE_BUTTON,해당없음,TAP,해당없음,SCR_CHATROOM,메시지가 삭제됨
CHAT_NEW_0012,1,SCR_CHATROOM,STA_NETWORK_UNSTABLE,STA_CHATROOM_ENTERED,해당없음,TGT_MESSAGE_INPUT,해당없음,INPUT,해당없음,SCR_CHATROOM,송신측에 종이비행기 아이콘이 표시된 상태로 메시지가 노출됨
CHAT_NEW_0013,1,SCR_CHATROOM,STA_SEND_PENDING_MESSAGE_EXISTS,STA_CHATROOM_ENTERED,해당없음,해당없음,해당없음,WAIT,"{""timeout"": ""30s""}",SCR_CHATROOM,종이비행기로 표시되어 있던 메시지가 정상 전송됨
CHAT_NEW_0014,1,SCR_CHATROOM,STA_X_LINKIFY_EVENT_ACTIVE,STA_CHATROOM_ENTERED,해당없음,TGT_MESSAGE_INPUT,"{""event_type"": [""생일"", ""결혼"", ""일반""]}",INPUT,"{""value"": ""트리거텍스트 포함된 30자 이내 텍스트""}",SCR_CHATROOM,채팅방 상·하단에 축하 배너가 노출됨 - 어드민에 정의된 시간이 지나면 자동으로 숨겨짐 - 채팅방 재진입 시 노출 조건에 해당하면 배너가 재노출됨
CHAT_NEW_0015,1,SCR_CHATROOM,STA_X_LINKIFY_EVENT_ACTIVE / STA_X_TRIGGER_BUBBLE_EXISTS,STA_CHATROOM_ENTERED,해당없음,TGT_MESSAGE_BUBBLE,해당없음,SELECT,해당없음,SCR_CHATROOM,"트리거 말풍선 누적 갯수 설정에 맞춰 상단 배너, 하단 배너, 애니메이션이 노출됨"
CHAT_NEW_0016,1,SCR_CHATROOM,해당없음,STA_CHATROOM_ENTERED / STA_X_GIFT_BANNER_SHOWN,해당없음,해당없음,해당없음,TAP,해당없음,SCR_CHATROOM,선물하기 미니 바텀시트가 열림 - 생일자 유무·인원에 따라 친구피커 또는 선물하기 미니로 랜딩됨 - 생일자 1명: 선물하기 미니로 즉시 이동(생일자 타겟 고정) - 생일자 0명/복수명: 친구피커로 이동 후 친구 선택 시 선물하기 미니로 이동
CHAT_NEW_0017,1,SCR_CHATROOM,STA_X_SHOPPING_POINT_READY / STA_X_GIFT_COMPLETED,STA_CHATROOM_ENTERED,해당없음,해당없음,해당없음,VERIFY,해당없음,SCR_CHATROOM,채팅방별로 대상 말풍선이 발송됨 - 해당 채팅방: 선물완료 피드 발송 + 선물완료 애니메이션 발화 - 선물 수신자 1:1방: 선물완료 레버리지 말풍선 발송
CHAT_NEW_0018,1,SCR_CHATROOM,STA_ONE_ON_ONE_CHATROOM / STA_GROUP_CHATROOM / STA_X_MESSAGE_WITHIN_7DAYS,STA_CHATROOM_ENTERED,해당없음,TGT_MESSAGE_BUBBLE,해당없음,VERIFY,해당없음,SCR_CHATROOM,"7일 이내 수발신된 말풍선에서 말풍선 리액션 기능을 사용할 수 있음 - 롱탭 시 컨텍스트 메뉴에 리액션 퀵바 및 기본 진입점이 노출됨 - 7일 이전 말풍선은 메뉴가 미노출되며, 하단 리액션 버블로 추가/해제 시도 시 리액션 불가 안내가 노출됨"
CHAT_NEW_0018,2,SCR_CHATROOM,해당없음,해당없음,해당없음,해당없음,해당없음,VERIFY,해당없음,SCR_CHATROOM,"입력창 잠금 기능 ON/OFF와 무관하게 말풍선 리액션 기능을 사용할 수 있으며, 기능을 제공하는 채팅방의 모든 말풍선에서 사용 가능함"
