new_tc_id,title,purpose,source_sheet,source_row_numbers,source_tc_ids,conversion_type,conversion_note,priority,os,tc_attributes,automation_readiness,review_reason
CHAT_NEW_0001,채팅방 전체 > UI - 채팅방 전체 영역 UI 확인,"채팅방 상단, 채팅 영역, 입력 영역 노출됨 - 상단 영역 : 뒤로 가기, 안읽은 메시지 갯수(iOS only, 안읽은 메시지 있는 경우만 노출",5.일반채팅,6,CHAT_001,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 멀티디바이스OS, 콘텐츠미디어확인, 자동화후보",READY,
CHAT_NEW_0002,채팅방 상단 영역 > UI - 상단 영역 UI 확인,"뒤로 가기 아이콘, (iOS) 안읽은 메시지 갯수(안읽은 메시지 있는 경우만 노출), 채팅방명, 검색 아이콘, 사이드 메뉴 아이콘 노출됨 - 채",5.일반채팅,9,CHAT_002,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 멀티디바이스OS, 자동화후보",READY,
CHAT_NEW_0003,채팅방 상단 영역 > UI - 상단 영역 UI 확인,"뒤로 가기 아이콘, (iOS) 안읽은 메시지 갯수(안읽은 메시지 있는 경우만 노출), 채팅방명(방인원), 검색 아이콘, 사이드 메뉴 아이콘 노출",5.일반채팅,10,CHAT_003,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 멀티디바이스OS, 자동화후보",READY,
CHAT_NEW_0004,채팅방 상단 영역 > 뒤로 가기 - 뒤로 가기 아이콘 탭,채팅 목록 페이지로 이동됨,5.일반채팅,11,CHAT_004,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P3,common,"기능동작확인, 자동화후보",READY,
CHAT_NEW_0005,채팅방 상단 영역 > 채팅방 검색 (타임머신) - 검색 아이콘 탭,"검색 화면으로 전환 - 검색 입력란 : ""대화내용 검색"" - 메시지 검색 입력란에 커서 포커싱 되면서 키보드 올라옴 *상세 케이스는 채팅방 검색",5.일반채팅,12,CHAT_005,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,,REVIEW_REQUIRED,기대결과에 결론적 검증 표현(…됨/…되어야 함)이 부족하여 검토 필요
CHAT_NEW_0006,채팅방 상단 영역 > 사이드 메뉴 - 사이드 메뉴 아이콘 탭,사이드 메뉴가 노출됨,5.일반채팅,13,CHAT_006,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 자동화후보",READY,
CHAT_NEW_0007,채팅 영역 > UI - 채팅 영역 UI 확인,"공지(있는 경우만 노출), 송수신 말풍선 영역, 날짜 피드메시지 노출됨",5.일반채팅,15,CHAT_007,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 자동화후보",READY,
CHAT_NEW_0008,채팅 영역 > 말풍선 공통 > UI - 말풍선 영역 UI 확인,"송수신 말풍선 노출됨 - 송신 : 말풍선, 송신 시간, '1'(안읽은 경우만 노출) - 수신 : 프로필 이미지, 닉네임, 말풍선, 수신 시간",5.일반채팅,17,CHAT_008,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 콘텐츠미디어확인, 자동화후보",READY,
CHAT_NEW_0009,채팅 영역 > 말풍선 공통 > 전송 실패 > UI - 전송 실패 메시지 노출 확인,"송신 말풍선 좌측 재시도, 삭제 아이콘 노출됨",5.일반채팅,19,CHAT_009,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 예외에러확인, 네트워크서버연동, 자동화후보",READY,
CHAT_NEW_0010,채팅 영역 > 말풍선 공통 > 전송 실패 > 재시도 - 재시도 아이콘 탭,[Android] 1. 재전송 얼럿 노출됨 - 얼럿 재전송하시겠습니까? [삭제] [재전송] [iOS] 1. 바텀시트 노출됨 - [재전송] [삭제,5.일반채팅,20,CHAT_010,SPLIT,원본 수행 절차를 Step 단위로 세분화,P1,common,"UI노출확인, 기능동작확인, 네트워크서버연동, 멀티디바이스OS, 자동화후보",REVIEW_REQUIRED,일부 Step의 기대결과가 원본에 명시되지 않아 화면 노출 기준으로 보완됨
CHAT_NEW_0011,채팅 영역 > 말풍선 공통 > 전송 실패 > 삭제 - 삭제 아이콘 탭,[Android] 1. 재전송 얼럿 노출됨 - 얼럿 재전송하시겠습니까? [삭제] [재전송] [iOS] 1. 바텀시트 노출됨 - [재전송] [삭제,5.일반채팅,21,CHAT_011,SPLIT,원본 수행 절차를 Step 단위로 세분화,P1,common,"UI노출확인, 데이터변경확인, 멀티디바이스OS, 자동화후보",REVIEW_REQUIRED,일부 Step의 기대결과가 원본에 명시되지 않아 화면 노출 기준으로 보완됨
CHAT_NEW_0012,채팅 영역 > 말풍선 공통 > 네트워크 불안정 상태 > 전송 - 텍스트 입력 후 전송,종이비행기가 표시된 상태로 송신측에 메시지 표시됨,5.일반채팅,23,CHAT_012,ONE_TO_ONE,원본 TC를 1:1로 구조화 변환,P1,common,"UI노출확인, 자동화후보",READY,
